in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
0.8,0.2,-2,0.014642,1368.772538,0.007321,138.596533,0.137352,0.068676,False,dy_40.8_dx_00.2_dy_0-2.png
1.2,0.2,-2,0.011855,1446.333968,0.005927,138.859224,0.09267,0.046335,False,dy_41.2_dx_00.2_dy_0-2.png
1.6,0.2,-2,0.010343,1530.947672,0.005171,138.131862,0.070386,0.035193,False,dy_41.6_dx_00.2_dy_0-2.png
2,0.2,-2,0.009626,1620.907023,0.004813,165.297175,0.053355,0.026677,False,dy_42_dx_00.2_dy_0-2.png
-2,0.4,-2,0.00819,1074.685415,0.004095,27.918601,0.425741,0.21287,False,dy_4-2_dx_00.4_dy_0-2.png
-1.6,0.4,-2,0.008844,1086.891621,0.004422,39.172034,0.350002,0.175001,False,dy_4-1.6_dx_00.4_dy_0-2.png
-1.2,0.4,-2,0.010298,1106.650503,0.005149,49.432098,0.401285,0.200643,False,dy_4-1.2_dx_00.4_dy_0-2.png
-0.8,0.4,-2,0.013019,1134.474601,0.006509,74.045631,0.405662,0.202831,False,dy_4-0.8_dx_00.4_dy_0-2.png
-0.4,0.4,-2,0.017244,1171.659219,0.008622,92.376459,0.464178,0.232089,False,dy_4-0.4_dx_00.4_dy_0-2.png
0,0.4,-2,0.020496,1219.440494,0.010248,117.744961,0.472941,0.23647,False,dy_40_dx_00.4_dy_0-2.png
0.4,0.4,-2,0.018726,1278.268827,0.009363,180.422938,0.285839,0.142919,False,dy_40.4_dx_00.4_dy_0-2.png
0.8,0.4,-2,0.014769,1347.465561,0.007384,137.967434,0.13799,0.068995,False,dy_40.8_dx_00.4_dy_0-2.png
1.2,0.4,-2,0.011944,1425.482381,0.005972,125.988921,0.093114,0.046557,False,dy_41.2_dx_00.4_dy_0-2.png
1.6,0.4,-2,0.010413,1510.47529,0.005206,137.671313,0.070552,0.035276,False,dy_41.6_dx_00.4_dy_0-2.png
2,0.4,-2,0.009687,1600.755118,0.004844,164.861072,0.053451,0.026726,False,dy_42_dx_00.4_dy_0-2.png
-2,0.6,-2,0.00798,1047.530573,0.00399,26.734331,0.422415,0.211207,False,dy_4-2_dx_00.6_dy_0-2.png
-1.6,0.6,-2,0.00877,1062.73097,0.004385,33.805484,0.355203,0.177602,False,dy_4-1.6_dx_00.6_dy_0-2.png
-1.2,0.6,-2,0.010305,1084.348913,0.005152,48.289402,0.408246,0.204123,False,dy_4-1.2_dx_00.6_dy_0-2.png
-0.8,0.6,-2,0.013115,1113.420297,0.006558,72.850721,0.413354,0.206677,False,dy_4-0.8_dx_00.6_dy_0-2.png
-0.4,0.6,-2,0.017489,1151.493917,0.008745,91.176022,0.478224,0.239112,False,dy_4-0.4_dx_00.6_dy_0-2.png
0,0.6,-2,0.020894,1199.938748,0.010447,116.529518,0.490488,0.245244,False,dy_40_dx_00.6_dy_0-2.png
0.4,0.6,-2,0.019074,1259.280384,0.009537,179.685588,0.289614,0.144807,False,dy_40.4_dx_00.6_dy_0-2.png
0.8,0.6,-2,0.014986,1328.885579,0.007493,137.485065,0.138707,0.069353,False,dy_40.8_dx_00.6_dy_0-2.png
